status,price,bed,bath,acre_lot,city,state,zip_code,house_size,price_per_sqft,bed_bath_ratio,market_segment,luxury_flag,lot_size_bucket,listing_year,listing_month,prev_sold_date
for_sale,500000.0,4.0,3.0,0.08,Goodyear,Arizona,85338.0,2270.0,220.26,1.333,premium,False,tiny,2020.0,2020-01,2020-01-21
sold,600000.0,4.0,3.0,0.23,Old Bridge,New Jersey,8857.0,2403.0,249.69,1.333,premium,False,small,2022.0,2022-01,2022-01-21
sold,475000.0,5.0,2.0,0.26,Milwaukie,Oregon,97267.0,2362.0,201.1,2.5,mid_market,False,standard,2022.0,2022-03,2022-03-03
sold,1350000.0,4.0,2.0,0.91,Boulder,Colorado,80303.0,2498.0,540.43,2.0,luxury,True,standard,2022.0,2022-03,2022-03-18
for_sale,635000.0,5.0,3.0,0.2,Westminster,Colorado,80031.0,2012.0,315.61,1.667,premium,False,small,2017.0,2017-11,2017-11-08
sold,209000.0,3.0,2.0,1.35,Williamson,Georgia,30292.0,1405.0,148.75,1.5,budget,False,large,2021.0,2021-12,2021-12-17
sold,359000.0,2.0,1.0,,Long Beach,California,90810.0,730.0,491.78,2.0,mid_market,False,tiny,2022.0,2022-04,2022-04-07
for_sale,535000.0,1.0,1.0,,Surfside,Florida,33154.0,905.0,591.16,1.0,premium,False,tiny,2013.0,2013-11,2013-11-27
sold,222000.0,3.0,2.0,0.13,Kissimmee,Florida,34741.0,1296.0,171.3,1.5,budget,False,small,2021.0,2021-10,2021-10-29
sold,1000000.0,4.0,3.0,0.23,Portland,Oregon,97219.0,2751.0,363.5,1.333,luxury,True,small,2022.0,2022-05,2022-05-02
for_sale,575000.0,3.0,2.0,0.57,Fairfield,Connecticut,6825.0,1568.0,366.71,1.5,premium,False,standard,2003.0,2003-12,2003-12-22
for_sale,395000.0,4.0,4.0,0.31,West Palm Beach,Florida,33415.0,2272.0,173.86,1.0,mid_market,False,standard,,,
for_sale,233900.0,5.0,3.0,,Taberg,New York,13471.0,2000.0,116.95,1.667,budget,False,standard,2002.0,2002-06,2002-06-28
for_sale,210000.0,2.0,2.0,,Fort Myers,Florida,33919.0,878.0,239.18,1.0,budget,False,tiny,2013.0,2013-09,2013-09-25
for_sale,3495000.0,6.0,8.0,0.21,Birmingham,Michigan,48009.0,5300.0,659.43,0.75,luxury,True,small,1974.0,1974-10,1974-10-01
for_sale,415000.0,3.0,3.0,,Pleasant Grove,Utah,84062.0,1531.0,271.06,1.0,mid_market,False,tiny,2016.0,2016-04,2016-04-05
for_sale,190000.0,2.0,2.0,0.06,Spring,Texas,77388.0,1004.0,189.24,1.0,budget,False,tiny,2018.0,2018-03,2018-03-05
